0204=1945年2月4日 雅尔塔会议召开
0204=1936年2月4日 获诺贝尔奖的美籍华人——丁肇中诞辰
0204=1922年2月4日 中国被迫签订《解决山东悬案条例》
0204=1902年2月4日 美国著名飞行家林白诞辰
0204=1898年2月4日 清政府印造昭信股票
0205=1994年2月5日 新中国现代纺织工业的主要奠基人钱之光逝世
0205=1988年2月5日 苏共中央为布哈林平反昭雪
0205=1985年2月5日 直布罗陀陆地边界关闭16年后重新开放
0205=1984年2月5日 国防部副部长粟裕逝世
0205=1970年2月5日 中共中央指示要求反对贪污盗窃、投机倒把
0205=1967年2月5日 上海人民公社成立
0205=1964年2月5日 中共中央发出通知，在全国开展“工业学大庆”运动
0205=1964年2月5日 中国第一例自体骨髓移植手术获成功
0205=1957年2月5日 中国第一次公演西方歌剧
0205=1949年2月5日 中共中央指示私营工厂复工
0205=1949年2月5日 毛泽东发表惩办战犯声明
0205=1922年2月5日 风靡世界的美国杂志《读者文摘》创刊
0205=1919年2月5日 “黄色国际”建立
0205=1912年2月5日 民国政府第一银行——中国银行开业
0205=1907年2月5日 经学大师俞樾逝世
0205=1901年2月5日 摩根购并钢铁公司成为钢铁巨头
0206=2001年2月6日 我科学家成功克隆乳光牙基因
0206=1999年2月6日 第四届亚冬会圆满落幕　中国代表团获金牌总数第一
0206=1998年2月6日 金钟泌说韩不同台湾发展官方关系
0206=1998年2月6日 国家教委调整中小学教育教学（删减教学内容降低教学层次缩小考试范围）
0206=1995年2月6日 国家有杰出贡献的电影艺术家夏衍逝世
0206=1989年2月6日 波兰“圆桌会议”召开
0206=1987年2月6日 我国著名热带医学专家钟惠澜逝世
0206=1979年2月6日 中央广播电视大学在北京举行开学典礼
0206=1956年2月6日 国务院发布《关于推广普通话的指示》
0206=1937年2月6日 张国焘向中共中央检讨错误
0206=1928年2月6日 刑场上的婚礼——共产党员陈铁军与周文雍英勇就义
0206=1911年2月6日 美国总统里根诞辰
0206=1802年2月6日 英国物理学家惠斯通诞辰
0206=1689年2月6日 英国的“光荣革命”事件
0207=1999年2月7日 约旦国王侯赛因病逝
0207=1997年2月7日 联合国环境署会议通过《内罗毕宣言》
0207=1986年2月7日 海地终身总统杜瓦利埃下台
0207=1985年2月7日 昆明体育场发生死伤事件8人死亡
0207=1984年2月7日 美国两名宇航员成功太空行走
0207=1981年2月7日 日本“北方领土日”
0207=1980年2月7日 我国与哥伦比亚建交
0207=1979年2月7日 我国著名电影导演崔嵬逝世
0207=1977年2月7日 “两个凡是”是何时提出的？
0207=1974年2月7日 我国气象学家竺可桢逝世
0207=1966年2月7日 《人民日报》号召向焦裕禄同志学习
0207=1959年2月7日 中苏签订经济合作协定
0207=1959年2月7日 朱德对农村办公共食堂提出异议
0207=1957年2月7日 我国与斯里兰卡建交
0207=1947年2月7日 杨子荣活捉“座山雕”
0207=1944年2月7日 回族英雄马本斋逝世
0207=1931年2月7日 胡也频等5名左翼作家遇害
0207=1923年2月7日 京汉铁路工人大罢工
0207=1920年2月7日 华裔电脑巨人——王安诞辰
0207=1914年2月7日 北京政府统一币制
0207=1812年2月7日 英国著名作家狄更斯诞辰
0207=1477年2月7日 《乌托邦》作者莫尔诞辰
0208=2001年2月8日 汕尾特大假币案七名主犯伏法
0208=1999年2月8日 中国少年科学院成立
0208=1998年2月8日 《简明华夏百科全书》出版
